number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_clip_confidence,user_attrs_avg_entropy_labels,user_attrs_consistency_reward,user_attrs_iou_ratio_dino_resnet,user_attrs_iou_variance,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_mean_iou,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_num_segments,user_attrs_semantic_score,user_attrs_semantic_structural_alignment,user_attrs_value
0,,kmeans,l2,silhouette,blocks.11,layer3,0.0022490432169420893,8,0.9254780249193529,0.92651912489401,0.5465168802688971,2.2315748107786835,kmeans,l2,heuristic,False,True,False,0.4811602726170805,0.7020659767247859,0.550860405793688,0.23802455284265234,0.9212470926162407,FAIL,,,,,,,,,,,,,,
1,0.2,graph,root-norm,silhouette,blocks.7,layer3,0.009187624240513517,8,0.9598818277485672,0.969318614415611,0.6181752908598214,2.652344920769008,graph,l2,silhouette,True,True,False,0.4809001623864415,0.6569290137978492,0.7936658520047387,0.3805512459532774,0.41777380289328403,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
2,0.2,kmeans,l2,heuristic,blocks.11,layer1,0.005482367023922972,8,0.9483128121618627,0.9730523656889475,0.9751458533749301,1.534677719558374,graph,root-norm,silhouette,True,False,False,0.5119121089524803,0.6226094221223115,0.27167980808824876,0.12009041802348686,0.20265793938180376,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
3,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0026475370829927404,16,0.891017475863388,0.9522479855369052,0.7816172463852227,2.4727810474162633,kmeans,root-norm,silhouette,True,False,True,0.6637779094702536,0.745136415661197,0.9534231003269198,0.809609032676996,0.9314821652280911,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
4,0.2,graph,l2,silhouette,blocks.7,layer3,0.004353820973399301,16,0.9152673190380278,0.903489488588518,0.8190931731619339,2.1235872512792637,graph,root-norm,silhouette,True,False,False,0.5763705246362825,0.616991545394513,0.380351221841429,0.6466725781088192,0.0744276354675586,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
5,0.2,kmeans,l2,silhouette,blocks.7,layer1,0.009784408016173446,8,0.8740641840321233,0.9491875414741373,0.9729251746004974,2.194653517699153,graph,root-norm,silhouette,False,True,False,0.5113118500655518,0.7309554258757702,0.4969513638472448,0.4344393559017291,0.5533136859515613,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
6,0.2,graph,l2,silhouette,blocks.7,layer2,0.005148777413692407,32,0.9051096673320588,0.9637088658012027,1.1390911159966666,2.484130681858183,graph,root-norm,heuristic,True,True,True,0.6753987999246767,0.599945219607123,0.6283312905891545,0.5632979775000996,0.20674023821316856,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
7,0.2,graph,l2,silhouette,blocks.11,layer3,0.007397264753287842,16,0.8509862292207887,0.9295073269711198,0.8249412287177009,1.5799188036467118,kmeans,root-norm,heuristic,False,True,False,0.7417574349810201,0.5390279194573401,0.06751949953604741,0.9770558502314481,0.3953963307692706,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
8,0.2,graph,l2,heuristic,blocks.7,layer2,0.009675109766344638,32,0.9217140149427606,0.9462144580452652,0.92183438066763,1.9534736915733384,kmeans,root-norm,silhouette,False,False,False,0.5676161188789113,0.5251373646968325,0.9390795707529005,0.13537056665575065,0.8068769882588833,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
9,0.2,graph,l2,heuristic,blocks.11,layer2,0.009563265326905327,8,0.8837279211337152,0.9149020845209053,1.07604652200477,2.189630018785535,kmeans,l2,heuristic,False,False,False,0.648647224989681,0.4198422097688912,0.7482870926726326,0.8236726590390314,0.26435093143107424,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
10,0.2,graph,l2,heuristic,blocks.11,layer3,0.00637858564616229,32,0.9544484076455587,0.9667724008595826,0.5868090302502934,2.834065916554982,graph,root-norm,silhouette,False,False,False,0.5705724549961402,0.739448453116851,0.23240705799780803,0.02880799483424612,0.960404982960237,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
11,0.2,kmeans,root-norm,silhouette,blocks.7,layer3,0.001118740227284639,8,0.9734393621155851,0.9777796779080363,0.5064225177065875,2.856357456820202,graph,l2,heuristic,True,True,True,0.4161323877953566,0.6694458353460897,0.7738276222364667,0.33895282147587646,0.6103120419204283,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
12,0.2,kmeans,root-norm,heuristic,blocks.11,layer1,0.007652705914654388,8,0.9404517280525735,0.9794995539617294,0.6867670018452402,1.6218649493601847,graph,l2,silhouette,True,True,False,0.4493018665721636,0.6386520487429276,0.30444620467809774,0.2589285802102307,0.025176141845587696,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
13,0.2,kmeans,root-norm,silhouette,blocks.11,layer1,0.003644150028044792,8,0.9742074036855799,0.9644338878106419,1.011033524514471,2.563741451152692,graph,l2,silhouette,True,False,False,0.4921052992335692,0.6750142469960188,0.006095236130668258,0.20716269710952373,0.3597825234665174,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
14,0.2,kmeans,root-norm,heuristic,blocks.11,layer1,0.006529963143885792,8,0.9472444318516041,0.9332594150527259,0.6823831939737021,1.8022632658438624,graph,l2,silhouette,True,True,False,0.5029563579251053,0.5588049103450159,0.5411114628144491,0.03416404771798988,0.696278511764771,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
15,0.2,graph,root-norm,heuristic,blocks.7,layer3,0.008439835438031913,8,0.9328081328063429,0.9693126169995445,1.1989148047149176,2.9843481181133145,graph,l2,silhouette,True,False,True,0.4539598477050241,0.675314156302791,0.1586383085536962,0.39282254135514016,0.4135437383710924,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
16,0.2,kmeans,root-norm,silhouette,blocks.11,layer1,0.005794697271329087,8,0.960832237608274,0.9542132707669345,0.7054090627368305,2.6636038018204276,graph,l2,silhouette,True,True,False,0.5403827928042715,0.47155315333324227,0.3983565490947759,0.5277199456412422,0.1480553184780618,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
17,0.2,graph,root-norm,heuristic,blocks.11,layer1,0.008260148680537826,8,0.9608041669865661,0.9591843237569501,0.5041019958741442,2.366070386323794,graph,root-norm,silhouette,True,False,False,0.4023848248841073,0.5980420239109376,0.7692323880902214,0.14898585329246952,0.2979566327152233,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
18,0.2,kmeans,l2,silhouette,blocks.7,layer3,0.004561616610030469,8,0.9305734196821454,0.9398604108264876,0.9034085489878572,1.9298478090751365,graph,l2,silhouette,True,True,False,0.6097184328536265,0.6445593109776436,0.5908118318069757,0.31350498077318456,0.513894410272378,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
19,0.2,graph,l2,silhouette,blocks.11,layer3,0.0032768662485473253,32,0.9793427456995034,0.9713635514675752,0.6014934480354659,2.698602821162324,kmeans,l2,heuristic,True,False,True,0.463230406548564,0.5016135799835638,0.8522721274824595,0.6413330203874374,0.1604835419783287,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
20,0.2,kmeans,root-norm,heuristic,blocks.7,layer1,0.006792203222546898,16,0.9451601196524444,0.9252718741787027,0.744731566742618,1.723588465363211,graph,root-norm,silhouette,True,True,False,0.5226541897363596,0.7013649222024275,0.6703834133741986,0.12646172694054167,0.4469548483646679,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
21,0.2,graph,l2,silhouette,blocks.7,layer3,0.005600390022973419,8,0.9641569948307236,0.9425598458582954,1.0302437614092192,2.3274409043285256,graph,root-norm,silhouette,True,True,False,0.4787435755325034,0.568795373808886,0.44086793963646786,0.43918485744559077,0.3006504761902806,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
22,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0015742251136233046,16,0.8997094114543809,0.957246266555909,0.771085093584359,2.4317110000458393,kmeans,root-norm,silhouette,True,False,True,0.7261066379078995,0.7051192180755048,0.9848422449872588,0.8982887804387149,0.9778507249012078,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
23,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0022762212591708442,16,0.8843220509465732,0.9748644427406864,0.8944768468037044,2.5387161907100264,kmeans,root-norm,silhouette,True,False,True,0.6271978681628528,0.7453778079856019,0.8980003213852409,0.6873369825459276,0.7757274857728381,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
24,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.0024062229924491866,16,0.8951726161425163,0.9538008164020698,0.5950980587283816,2.653379254081023,kmeans,root-norm,silhouette,True,False,True,0.6937552904231785,0.7023297014410266,0.8492528914559727,0.7394843194254086,0.8703417981389664,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
25,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.003267293499823661,16,0.8562763670611195,0.962846701445026,0.6406024426819238,2.0549981193964784,kmeans,root-norm,silhouette,True,False,True,0.5323294191676393,0.6400127707340593,0.9970467437246944,0.7972400554854333,0.6272464834926041,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
26,0.2,kmeans,root-norm,heuristic,blocks.7,layer2,0.004271012268131241,16,0.8660740727164522,0.9725259003712546,0.794342666604776,2.283880777686416,kmeans,root-norm,silhouette,True,False,True,0.43177328652395974,0.610396715362045,0.7031195909304803,0.5696780441322639,0.6940199534727104,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
27,0.2,kmeans,root-norm,heuristic,blocks.11,layer1,0.008911354125546476,8,0.9274726146354424,0.9525848193735867,0.9518010892564082,2.802171529022846,kmeans,l2,heuristic,False,False,True,0.5906493373136797,0.6565418318899712,0.3253692058109622,0.9750620287582997,0.4793250895785937,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
28,0.2,kmeans,root-norm,heuristic,blocks.7,layer3,0.0025271517867214823,16,0.9121117598954047,0.9600978580890501,0.8671869486542774,1.5208138284170623,graph,root-norm,silhouette,True,False,False,0.5520473416979137,0.7138511063499378,0.836666356705421,0.23790346757382289,0.3480700604578766,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
29,0.2,graph,l2,silhouette,blocks.11,layer2,0.007327417514566841,32,0.8899092570952386,0.9681267406919472,0.7344965327183297,2.4278820558591616,kmeans,l2,silhouette,True,True,True,0.7018922879450741,0.5886745325037347,0.17621758109821417,0.4723483197568969,0.12534646317968834,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
30,0.2,graph,l2,silhouette,blocks.7,layer1,0.0048149090532844056,8,0.916667819854068,0.9002264997393312,0.8562754777295639,2.003041628084298,graph,root-norm,silhouette,True,False,False,0.6606318038275077,0.6151686387597272,0.9281043346034638,0.6267342473934001,0.0639899490550156,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
31,0.2,kmeans,root-norm,heuristic,blocks.7,layer3,0.0039443756160785475,16,0.9373403538052234,0.9107425222687148,0.8120892756321701,1.8295234983556736,graph,root-norm,silhouette,True,False,False,0.4844257253713272,0.6744168077253793,0.49876704998329924,0.34800020351884453,0.2238376595065567,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
32,0.2,graph,l2,silhouette,blocks.7,layer3,0.005938652812030723,16,0.8716805006251446,0.9487248502734621,0.9820797426145299,2.154797424208879,graph,root-norm,silhouette,True,False,False,0.5949332217843395,0.6263189392140568,0.3747552528723075,0.7571346658201568,0.0016709928269762753,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
33,0.2,graph,l2,silhouette,blocks.7,layer3,0.004909594649849071,16,0.9085474738575836,0.9190933722621322,1.0889829324421467,2.125104862353952,graph,root-norm,silhouette,True,False,False,0.5131604407101449,0.7187939269127687,0.2605215499675367,0.859720507480322,0.09894644744163139,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
34,0.2,graph,l2,silhouette,blocks.7,layer3,0.005315340310329767,16,0.9507874801135625,0.9011516386206462,0.8380806505573634,2.5236722575377515,graph,root-norm,silhouette,False,True,False,0.5550655469790822,0.5874166480711609,0.42940363530382797,0.5959608107544269,0.20399174889504895,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
35,0.2,graph,l2,silhouette,blocks.7,layer3,0.0034138853197977475,16,0.9214942017927523,0.9361783950183468,0.9439386458909552,2.248988821979117,graph,root-norm,heuristic,True,False,False,0.6355007814077053,0.5486938855184685,0.5745718238873511,0.6849538795945408,0.5767454588961353,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
36,0.2,graph,l2,silhouette,blocks.7,layer2,0.0028844375495642454,32,0.900985875491062,0.9448369929121684,0.6422094464086971,2.7481701015583915,graph,root-norm,silhouette,False,False,False,0.6774216596823729,0.512886963918517,0.3400224472821173,0.49907624160885034,0.2015539123580296,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
37,0.2,graph,l2,silhouette,blocks.7,layer1,0.009990981146410408,8,0.8814247403238026,0.9071210230852932,0.7786949546183831,2.58569740448394,kmeans,root-norm,heuristic,True,True,False,0.6208494624812734,0.6220951379840446,0.10176019167477918,0.9054587097046448,0.2673498923343591,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
38,0.2,graph,l2,silhouette,blocks.11,layer3,0.004239717135571944,16,0.9652203361479385,0.9271758255726867,1.0666065755517289,2.9239370105361115,graph,root-norm,silhouette,False,False,False,0.7473184876484689,0.6866576511839914,0.24186321784607523,0.06906905290763976,0.0680069139497833,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
39,0.2,kmeans,l2,heuristic,blocks.7,layer2,0.0019013765028235517,8,0.9565976634087952,0.9756779194073263,0.8809278766722275,1.6864871838362356,kmeans,l2,silhouette,True,True,True,0.5851193892101423,0.7313969343605714,0.46620169557069396,0.7121223955118812,0.8953312396611601,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
40,0.2,graph,l2,silhouette,blocks.11,layer3,0.00701653412687539,32,0.9700924563795958,0.9638506504365588,0.9879123141814652,2.409019870827483,graph,root-norm,heuristic,False,False,False,0.47068885451640285,0.4031752828705477,0.6614873962394374,0.8017246306718546,0.3944984483820431,COMPLETE,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
